chapter,book,wave,status,start_time,end_time,duration_s,input_tokens,cache_creation_tokens,cache_read_tokens,output_tokens,total_tokens,cost_usd,last_heartbeat,terminal_id,retry_at
adwd-tyrion-06,adwd,14,failed-stale,2026-05-05T21:27:20Z,,,,,,,,,2026-05-05T21:27:20Z,Matthews-Mac-Studio.local-14127,
adwd-tyrion-01,adwd,13,failed-stale,2026-05-05T21:27:20Z,,,,,,,,,2026-05-05T21:27:20Z,Matthews-Mac-Studio.local-13814,
adwd-the-ugly-little-girl-01,adwd,12,failed-stale,,,,,,,,,,2026-05-05T21:27:50Z,Matthews-Mac-Studio.local-13798,
adwd-tyrion-06,adwd,14,failed-stale,,,,,,,,,,2026-05-05T21:27:50Z,Matthews-Mac-Studio.local-14127,
adwd-tyrion-01,adwd,13,failed-stale,,,,,,,,,,2026-05-05T21:27:51Z,Matthews-Mac-Studio.local-13814,
adwd-the-ugly-little-girl-01,adwd,12,failed-stale,,,,,,,,,,2026-05-05T21:28:20Z,Matthews-Mac-Studio.local-13798,
adwd-tyrion-06,adwd,14,failed-stale,,,,,,,,,,2026-05-05T21:28:20Z,Matthews-Mac-Studio.local-14127,
adwd-tyrion-01,adwd,13,failed-stale,,,,,,,,,,2026-05-05T21:28:21Z,Matthews-Mac-Studio.local-13814,
adwd-the-ugly-little-girl-01,adwd,12,failed-stale,,,,,,,,,,2026-05-05T21:28:50Z,Matthews-Mac-Studio.local-13798,
adwd-tyrion-06,adwd,14,failed-stale,,,,,,,,,,2026-05-05T21:28:50Z,Matthews-Mac-Studio.local-14127,
adwd-tyrion-01,adwd,13,failed-stale,,,,,,,,,,2026-05-05T21:28:51Z,Matthews-Mac-Studio.local-13814,
adwd-the-ugly-little-girl-01,adwd,12,failed-stale,,,,,,,,,,2026-05-05T21:29:20Z,Matthews-Mac-Studio.local-13798,
adwd-tyrion-06,adwd,14,failed-stale,,,,,,,,,,2026-05-05T21:29:20Z,Matthews-Mac-Studio.local-14127,
adwd-tyrion-01,adwd,13,failed-stale,,,,,,,,,,2026-05-05T21:29:21Z,Matthews-Mac-Studio.local-13814,
adwd-the-ugly-little-girl-01,adwd,12,failed-stale,,,,,,,,,,2026-05-05T21:29:50Z,Matthews-Mac-Studio.local-13798,
adwd-tyrion-06,adwd,14,failed-stale,,,,,,,,,,2026-05-05T21:29:50Z,Matthews-Mac-Studio.local-14127,
adwd-tyrion-01,adwd,13,failed-stale,,,,,,,,,,2026-05-05T21:29:51Z,Matthews-Mac-Studio.local-13814,
adwd-the-ugly-little-girl-01,adwd,12,failed-stale,,,,,,,,,,2026-05-05T21:30:20Z,Matthews-Mac-Studio.local-13798,
adwd-tyrion-06,adwd,14,failed-stale,,,,,,,,,,2026-05-05T21:30:20Z,Matthews-Mac-Studio.local-14127,
adwd-tyrion-01,adwd,13,failed-stale,,,,,,,,,,2026-05-05T21:30:21Z,Matthews-Mac-Studio.local-13814,
adwd-the-ugly-little-girl-01,adwd,12,failed-stale,,,,,,,,,,2026-05-05T21:30:50Z,Matthews-Mac-Studio.local-13798,
adwd-tyrion-06,adwd,14,failed-stale,,,,,,,,,,2026-05-05T21:30:50Z,Matthews-Mac-Studio.local-14127,
adwd-tyrion-01,adwd,13,failed-stale,,,,,,,,,,2026-05-05T21:30:51Z,Matthews-Mac-Studio.local-13814,
adwd-the-ugly-little-girl-01,adwd,12,failed-stale,,,,,,,,,,2026-05-05T21:31:20Z,Matthews-Mac-Studio.local-13798,
adwd-tyrion-06,adwd,14,failed-stale,,,,,,,,,,2026-05-05T21:31:20Z,Matthews-Mac-Studio.local-14127,
adwd-tyrion-01,adwd,13,failed-stale,,,,,,,,,,2026-05-05T21:31:21Z,Matthews-Mac-Studio.local-13814,
adwd-tyrion-01,adwd,13,done,2026-05-05 16:27:21,2026-05-05 16:31:43,262,6,59916,112412,10765,183099,0.7004290000000001,,Matthews-Mac-Studio.local-13814,
adwd-tyrion-02,adwd,13,failed-stale,2026-05-05T21:31:43Z,,,,,,,,,2026-05-05T21:31:43Z,Matthews-Mac-Studio.local-13814,
adwd-the-ugly-little-girl-01,adwd,12,failed-stale,,,,,,,,,,2026-05-05T21:31:50Z,Matthews-Mac-Studio.local-13798,
adwd-tyrion-06,adwd,14,failed-stale,,,,,,,,,,2026-05-05T21:31:50Z,Matthews-Mac-Studio.local-14127,
adwd-tyrion-02,adwd,13,failed-stale,,,,,,,,,,2026-05-05T21:32:13Z,Matthews-Mac-Studio.local-13814,
adwd-the-ugly-little-girl-01,adwd,12,failed-stale,,,,,,,,,,2026-05-05T21:32:20Z,Matthews-Mac-Studio.local-13798,
adwd-tyrion-06,adwd,14,failed-stale,,,,,,,,,,2026-05-05T21:32:20Z,Matthews-Mac-Studio.local-14127,
adwd-tyrion-02,adwd,13,failed-stale,,,,,,,,,,2026-05-05T21:32:43Z,Matthews-Mac-Studio.local-13814,
adwd-the-ugly-little-girl-01,adwd,12,failed-stale,,,,,,,,,,2026-05-05T21:32:50Z,Matthews-Mac-Studio.local-13798,
adwd-tyrion-06,adwd,14,failed-stale,,,,,,,,,,2026-05-05T21:32:50Z,Matthews-Mac-Studio.local-14127,
adwd-tyrion-02,adwd,13,failed-stale,,,,,,,,,,2026-05-05T21:33:13Z,Matthews-Mac-Studio.local-13814,
adwd-the-ugly-little-girl-01,adwd,12,done,2026-05-05 16:27:20,2026-05-05 16:33:15,355,5,61412,71638,14277,147332,0.777177,,Matthews-Mac-Studio.local-13798,
adwd-the-watcher-01,adwd,12,failed-stale,2026-05-05T21:33:15Z,,,,,,,,,2026-05-05T21:33:15Z,Matthews-Mac-Studio.local-13798,
adwd-tyrion-06,adwd,14,failed-stale,,,,,,,,,,2026-05-05T21:33:21Z,Matthews-Mac-Studio.local-14127,
adwd-tyrion-02,adwd,13,failed-stale,,,,,,,,,,2026-05-05T21:33:43Z,Matthews-Mac-Studio.local-13814,
adwd-the-watcher-01,adwd,12,failed-stale,,,,,,,,,,2026-05-05T21:33:45Z,Matthews-Mac-Studio.local-13798,
adwd-tyrion-06,adwd,14,failed-stale,,,,,,,,,,2026-05-05T21:33:51Z,Matthews-Mac-Studio.local-14127,
adwd-tyrion-06,adwd,14,done,2026-05-05 16:27:20,2026-05-05 16:34:13,413,4096,68155,109640,17702,199593,0.94441675,,Matthews-Mac-Studio.local-14127,
adwd-tyrion-07,adwd,14,failed-stale,2026-05-05T21:34:13Z,,,,,,,,,2026-05-05T21:34:13Z,Matthews-Mac-Studio.local-14127,
adwd-tyrion-02,adwd,13,failed-stale,,,,,,,,,,2026-05-05T21:34:13Z,Matthews-Mac-Studio.local-13814,
adwd-the-watcher-01,adwd,12,failed-stale,,,,,,,,,,2026-05-05T21:34:15Z,Matthews-Mac-Studio.local-13798,
adwd-tyrion-07,adwd,14,failed-stale,,,,,,,,,,2026-05-05T21:34:43Z,Matthews-Mac-Studio.local-14127,
adwd-tyrion-02,adwd,13,failed-stale,,,,,,,,,,2026-05-05T21:34:43Z,Matthews-Mac-Studio.local-13814,
adwd-the-watcher-01,adwd,12,failed-stale,,,,,,,,,,2026-05-05T21:34:45Z,Matthews-Mac-Studio.local-13798,
adwd-tyrion-07,adwd,14,failed-stale,,,,,,,,,,2026-05-05T21:35:13Z,Matthews-Mac-Studio.local-14127,
adwd-tyrion-02,adwd,13,failed-stale,,,,,,,,,,2026-05-05T21:35:13Z,Matthews-Mac-Studio.local-13814,
adwd-the-watcher-01,adwd,12,failed-stale,,,,,,,,,,2026-05-05T21:35:15Z,Matthews-Mac-Studio.local-13798,
adwd-tyrion-07,adwd,14,failed-stale,,,,,,,,,,2026-05-05T21:35:43Z,Matthews-Mac-Studio.local-14127,
adwd-tyrion-02,adwd,13,failed-stale,,,,,,,,,,2026-05-05T21:35:43Z,Matthews-Mac-Studio.local-13814,
adwd-the-watcher-01,adwd,12,failed-stale,,,,,,,,,,2026-05-05T21:35:45Z,Matthews-Mac-Studio.local-13798,
adwd-tyrion-07,adwd,14,failed-stale,,,,,,,,,,2026-05-05T21:36:13Z,Matthews-Mac-Studio.local-14127,
adwd-tyrion-02,adwd,13,failed-stale,,,,,,,,,,2026-05-05T21:36:13Z,Matthews-Mac-Studio.local-13814,
adwd-the-watcher-01,adwd,12,failed-stale,,,,,,,,,,2026-05-05T21:36:16Z,Matthews-Mac-Studio.local-13798,
adwd-tyrion-07,adwd,14,failed-stale,,,,,,,,,,2026-05-05T21:36:43Z,Matthews-Mac-Studio.local-14127,
adwd-tyrion-02,adwd,13,failed-stale,,,,,,,,,,2026-05-05T21:36:43Z,Matthews-Mac-Studio.local-13814,
adwd-the-watcher-01,adwd,12,failed-stale,,,,,,,,,,2026-05-05T21:36:46Z,Matthews-Mac-Studio.local-13798,
adwd-tyrion-07,adwd,14,failed-stale,,,,,,,,,,2026-05-05T21:37:13Z,Matthews-Mac-Studio.local-14127,
adwd-tyrion-02,adwd,13,failed-stale,,,,,,,,,,2026-05-05T21:37:13Z,Matthews-Mac-Studio.local-13814,
adwd-the-watcher-01,adwd,12,failed-stale,,,,,,,,,,2026-05-05T21:37:16Z,Matthews-Mac-Studio.local-13798,
adwd-tyrion-02,adwd,13,done,2026-05-05 16:31:43,2026-05-05 16:37:33,350,6,48598,136204,14696,199504,0.7398474999999999,,Matthews-Mac-Studio.local-13814,
adwd-tyrion-03,adwd,13,failed-stale,2026-05-05T21:37:33Z,,,,,,,,,2026-05-05T21:37:33Z,Matthews-Mac-Studio.local-13814,
adwd-tyrion-07,adwd,14,failed-stale,,,,,,,,,,2026-05-05T21:37:43Z,Matthews-Mac-Studio.local-14127,
